SPECIES,SITE_ID,Height_min,Height_max,Behaviour,WEATHER_CONDITIONS,N_INDIVIDUALS,SEASON,HABITAT,Longitude,Latitude
S1,Zone C,NA,15,B1,"Easterly wind, gusty at times, hot clear day",17,A,X1,130.239891,-32.47313511
S1,Zone E,NA,NA,B7,"Easterly wind, gusty at times, hot clear day",8,A,X1,130.241277,-32.42658892
S1,Zone G,NA,10,B7,"ESE wind, gusty at times, clear skies",6,A,X2,130.1130163,-32.34329067
S1,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",12,A,X1,130.030827,-32.14049329
S1,Zone G,NA,13,B7,"SE wind, gusty at times, clear skies",9,A,X1,130.1257698,-32.26561097
S1,Zone H,25,35,B2,"SE wind, gusty at times, clear skies",16,A,X1,130.0327924,-32.16947172
S1,Zone C,NA,13,B7,"SE wind, gusty at times, hot with clear skies",7,A,X1,130.0557016,-32.43227597
S1,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,9,A,X1,130.2453818,-32.22617201
S1,Zone E,NA,NA,NA,Very strong northerly (wind funnels through creekline and along steep ridge).,11,A,X1,130.2453818,-32.22617201
S1,Zone D,NA,NA,NA,Mild Easterly,14,A,X3,130.1692709,-32.44834877
S1,Zone D,NA,NA,NA,Mild Easterly,54,A,X3,130.1692709,-32.44834877
S1,Zone D,NA,NA,NA,North easterly,5,A,X4,130.1488508,-32.48177617
S1,Zone E,NA,NA,NA,Strong Easterly,5,A,X1,130.241277,-32.42658892
S1,Zone C,NA,NA,NA,Strong Easterly,19,A,X1,130.239891,-32.47313511
S1,Zone E,NA,NA,NA,Strong Easterly,6,A,X1,130.241277,-32.42658892
S1,Zone A,NA,NA,NA,Medium easterly,6,A,X4,130.0455436,-32.14776484
S1,Zone B,NA,NA,NA,Strong easterly,11,A,X1,130.0850503,-32.27792669
S1,Zone H,NA,NA,NA,Strong easterly,7,A,X1,130.164601,-32.28404537
S1,Zone E,NA,NA,NA,Strong easterly,6,A,X1,130.2452788,-32.3306172
S1,Zone C,NA,NA,NA,Easterly,6,A,X4,130.2372141,-32.50679697
S1,Zone D,NA,NA,NA,Mild Easterly,13,A,X3,130.1692709,-32.44834877
S1,Zone E,NA,11,B1,"Clear conditions, mild breeze from SE",5,A,X4,130.2040977,-32.22226437
S1,Zone G,NA,11,B3,"Clear conditions, light breeze in in steady gusts from south",5,A,X4,130.1779859,-32.39536412
S1,Zone A,NA,30,B3,"Clear conditions, strong gusty breeze from SE",8,A,X1,130.0327924,-32.16947172
S1,Zone G,NA,10,B3,"Clear, strong wind from East ",5,A,X1,130.1257698,-32.26561097
S1,Zone G,NA,15,B3,"Clear, strong wind from North East ",5,A,X1,130.1257698,-32.26561097
S1,Zone B,NA,15,B3,"Gentle to moderate breeze from NE, clear conditions",7,A,X1,130.0850503,-32.27792669
S1,Zone E,NA,10,B3,"Moderate wind from E, clear conditions",7,A,X4,130.2040977,-32.22226437
S1,Zone G,NA,7,B3,"no wind, clear conditions",5,A,X4,130.1458091,-32.32572974
S1,Zone B,NA,25,B1,"Clear conditions, moderate breeze from SE with occasional strong gusts",7,B,X4,130.0211448,-32.32262952
S1,Zone D,NA,25,B3,"Partly cloudy, strong SE wind.",8,B,X2,130.1260132,-32.36875353
S1,Zone H,NA,25,B1,"Partly cloudy, strong SE wind.",6,B,X1,130.0761366,-32.35155981
S1,Zone B,NA,25,B2,"Clear, hot, light breeze ",9,B,X2,130.3157018,-32.49333462
S1,Zone C,NA,25,B3,"Still, hot, clear",10,B,X1,130.239891,-32.47313511
S1,Zone E,NA,25,B3,0/01/1900,6,B,X1,130.241277,-32.42658892
S1,Zone G,NA,25,NA,0/01/1900,6,B,X4,130.1171401,-32.21401792
S1,Zone E,NA,25,B3,0/01/1900,11,B,X1,130.2452788,-32.3306172
S1,Zone B,NA,25,B2,0/01/1900,8,B,X1,130.0850503,-32.27792669
S1,Zone D,NA,25,B1,"Fine, clear, light E'ly breeze",9,B,X1,130.0923706,-32.49824002
S1,Zone G,NA,25,B2,"Fine, clear, moderate E'ly breeze",7,B,X1,130.1257698,-32.26561097
S1,Zone C,NA,25,B3,"Clear, hot, light SW'ly breeze",5,B,X4,130.2372141,-32.50679697
S1,Zone C,NA,25,B3,"Clear, hot, moderate SW'ly breeze",7,B,X1,130.239891,-32.47313511
S1,Zone B,NA,25,NA,strong wind 155,8,B,X2,130.3157018,-32.49333462
S1,Zone C,NA,25,NA,strong wind 120,9,B,X1,130.239891,-32.47313511
S1,Zone D,NA,25,B3,strong wind 90,8,B,X3,130.1692709,-32.44834877
S1,Zone F,NA,25,NA,strong wind 100,5,B,X8,130.2022983,-32.15430901
S1,Zone F,NA,25,B3,strong wind 110,11,B,X6,130.1879648,-32.1889944
S1,Zone H,NA,25,B3,light wind 160,5,B,X1,130.0761366,-32.35155981
S1,Zone D,NA,25,NA,light wind 80,9,B,X4,130.1488508,-32.48177617
S1,Zone E,NA,25,NA,light wind 80,7,B,X4,130.2040977,-32.22226437
S1,Zone F,NA,25,B3,strong wind 110,10,B,X8,130.2022983,-32.15430901
S1,Zone A,NA,25,NA,light wind 130,8,B,X1,130.030827,-32.14049329
S1,Zone D,NA,25,B1,"Hot Easterly wind, clear skies",8,B,X1,130.0923706,-32.49824002
S1,Zone D,NA,25,B1,"Hot Easterly wind, clear skies",6,B,X4,130.1041932,-32.4251709
S1,Zone F,NA,25,B1,"Easterly wind, clear skies",8,B,X7,130.1800519,-32.26204008
S1,Zone H,NA,25,B1,"Easterly wind, clear skies",6,B,X1,130.164601,-32.28404537
S1,Zone D,NA,25,B1,"Light easterly breeze, clear skies",8,B,X3,130.1692709,-32.44834877
S1,Zone G,NA,25,B1,"Easterly wind, clear skies",8,B,X4,130.1458091,-32.32572974
S1,Zone A,NA,25,B2,"Hot Easterly breeze, some cloud cover.",6,B,X4,130.0455436,-32.14776484
S1,Zone D,NA,25,B1,"Warm, slight northerly breeze, clear skies",9,B,X1,130.0923706,-32.49824002
S1,Zone H,NA,25,B1,"Warm, slight northerly breeze, clear skies",8,B,X4,130.1186258,-32.45876212
S1,Zone E,NA,25,NA,"Hot, SE breeze, clear skies",8,B,X4,130.2040977,-32.22226437
S1,Zone G,NA,25,NA,"Hot, Easterly breeze, clear skies.",8,B,X4,130.1171401,-32.21401792
S1,Zone A,11,17,B1,"Sunny, calm",8,C,X1,130.0327924,-32.16947172
S1,Zone G,7,11,B3,"Sunny, slight easterly breeze",6,C,X4,130.1171401,-32.21401792
S1,Zone G,8,10,B1,"Sunny, easterly breeze ",9,C,X1,130.1257698,-32.26561097
S1,Zone G,5,9,B1,"Sunny, easterly wind gusty at times ",7,C,X4,130.1171401,-32.21401792
S1,Zone E,8,10,B1,"Sunny, easterly wind gusty at times ",7,C,X1,130.2453818,-32.22617201
S1,Zone A,6,9,B3,"Sunny, SE wind gusty at times ",6,C,X4,130.0455436,-32.14776484
S1,Zone A,13,16,B1,"Sunny, SE wind gusty at times ",9,C,X1,130.030827,-32.14049329
S1,Zone H,9,13,B3,"fine, warm, still",6,C,X4,130.1186258,-32.45876212
S1,Zone D,NA,NA,B1,"fine, warm, still",7,C,X1,130.0923706,-32.49824002
S1,Zone D,6,8,B1,"fine, warm, still",6,C,X4,130.1041932,-32.4251709
S1,Zone H,9,12,B1,"fine, warm, light breeze",7,C,X1,130.0761366,-32.35155981
S1,Zone G,10,11,B2,"fine, warm, moderate breeze",6,C,X1,130.1257698,-32.26561097
S1,Zone E,11,19,B1,"fine, warm, moderate breeze v strong gusts",8,C,X1,130.2453818,-32.22617201
S1,Zone G,10,11,NA,"cloudy, warm, strong wind",6,C,X2,130.1130163,-32.34329067
S1,Zone H,12,15,B1,"partly cloudy, warm, moderate wind",6,C,X1,130.164601,-32.28404537
S1,Zone E,9,17,B1,"fine, clear, moderate wind",9,C,X1,130.241277,-32.42658892
S1,Zone D,15,22,B3,"partly cloudy, warm, strong wind",11,C,X1,130.0923706,-32.49824002
S1,Zone H,9,40,B3,"partly cloudy, warm, moderate wind",9,C,X4,130.1186258,-32.45876212
S1,Zone E,6,10,B1,"fine, clear, v light E'ly breeze",7,C,X4,130.2040977,-32.22226437
S1,Zone C,7,27,B1,"fine, clear, light E'ly breeze",8,C,X1,130.239891,-32.47313511
S1,Zone B,10,15,B1,"fine, clear, strong E'ly breeze",6,C,X2,130.3157018,-32.49333462
S1,Zone E,6,20,B3,"fine, clear, strong E'ly breeze",7,C,X1,130.241277,-32.42658892
S1,Zone D,7,29,B1,"fine, clear, strong E'ly breeze",6,C,X3,130.1692709,-32.44834877
S1,Zone E,9,23,B1,"fine, partly cloudy, moderate E'ly breeze",8,C,X4,130.2040977,-32.22226437
S1,Zone F,6,10,B1,"fine, partly cloudy, moderate E'ly breeze",7,C,X8,130.2022983,-32.15430901
S1,Zone G,13,17,B1,"fine, partly cloudy, moderate E'ly breeze",6,C,X4,130.1171401,-32.21401792
S1,Zone E,7,21,B1,"fine, clear, moderate SE'ly breeze",8,C,X4,130.2040977,-32.22226437
S1,Zone F,5,7,NA,"fine, clear, strong E'ly breeze",6,C,X8,130.2022983,-32.15430901
S1,Zone D,5,8,B3,0/01/1900,6,C,X4,130.1488508,-32.48177617
S1,Zone B,NA,NA,NA,"sunny, light breeze",5,C,X4,130.0454944,-32.38497506
S1,Zone B,6,10,B3,"sunny, light breeze",5,C,X4,130.0211448,-32.32262952
S1,Zone H,NA,NA,NA,"sunny, light breeze",5,C,X4,130.1186258,-32.45876212
S1,Zone D,10,11,B3,"cloudy, light breeze",8,C,X1,130.0923706,-32.49824002
S1,Zone C,7,15,B3,"cloudy, light breeze",10,C,X1,130.239891,-32.47313511
S1,Zone C,7,10,B3,"sunny, breezy",6,C,X5,130.0459086,-32.52789957
S1,Zone B,10,13,B3,"Sunny, strong breeze",5,C,X4,130.0454944,-32.38497506
S1,Zone E,NA,NA,-,"sunny, light breeze",5,C,X1,130.2452788,-32.3306172
S1,Zone E,15,18,B7,"sunny, calm",11,C,X1,130.241277,-32.42658892
S1,Zone C,5,14,B3,"sunny, calm",10,C,X1,130.239891,-32.47313511
S1,Zone A,NA,NA,NA,"sunny, moderate breeze",5,C,X4,130.0674542,-32.25413856
S1,Zone B,7,9,B3,"sunny, moderate breeze",6,C,X4,130.0211448,-32.32262952
S1,Zone A,7,10,B3,"sunny, calm",5,C,X4,130.0674542,-32.25413856
S1,Zone B,NA,NA,NA,"sunny, light breeze ",NA,C,X1,130.0850503,-32.27792669
S1,Zone G,NA,NA,NA,"sunny, light breeze",6,C,X1,130.1257698,-32.26561097
S2,Zone H,NA,8,B3,"ESE wind, gusty strong breeze, clear skies",6,A,X6,130.133218,-32.29602514
S2,Zone B,NA,9,B3,"Easterly wind, gusty at times, hot clear day",5,A,X2,130.3157018,-32.49333462
S2,Zone E,NA,13,B7,"Light Easterly breeze, clear skies",5,A,X1,130.2452788,-32.3306172
S2,Zone A,NA,13,B7,"ENE wind, gusty at times, clear skies",5,A,X1,130.030827,-32.14049329
S2,Zone E,NA,NA,NA,sheltered by large trees and nearby ridge,5,A,X1,130.2453818,-32.22617201
S2,Zone E,NA,NA,NA,Very strong northerly (wind funnels through creekline and along steep ridge).,6,A,X1,130.2453818,-32.22617201
S2,Zone D,NA,NA,NA,Mild Easterly,5,A,X3,130.1692709,-32.44834877
S2,Zone H,NA,NA,NA,light easterly,5,A,X1,130.164601,-32.28404537
S2,Zone A,NA,NA,NA,Medium easterly,5,A,X4,130.0455436,-32.14776484
S2,Zone C,NA,NA,NA,medium easterly in gusts,5,A,X5,130.0459086,-32.52789957
S2,Zone C,NA,NA,NA,strong easterly in gusts,5,A,X1,130.0557016,-32.43227597
S2,Zone H,NA,NA,NA,Strong easterly,6,A,X1,130.164601,-32.28404537
S2,Zone B,NA,NA,NA,Easterly,5,A,X2,130.3157018,-32.49333462
S2,Zone E,NA,NA,NA,"Clear conditions, mild breeze from SE",5,A,X4,130.2040977,-32.22226437
S2,Zone D,NA,8,B3,"Clear conditions, light breeze from SE in small gusts, still majority of time",5,A,X4,130.1488508,-32.48177617
S2,Zone G,NA,7,B3,"Clear, strong wind from East ",5,A,X4,130.1458091,-32.32572974
S2,Zone G,NA,8,B3,"Clear, strong wind from East ",5,A,X1,130.1257698,-32.26561097
S2,Zone D,NA,7,B3,"Moderate wind from E, clear conditions",5,A,X4,130.1041932,-32.4251709
S2,Zone D,NA,8,B3,"Moderate wind from NE, clear conditions",7,A,X2,130.1260132,-32.36875353
S2,Zone B,NA,11,B3,"Gentle ESE breeze, clear conditions",5,A,X4,130.0211448,-32.32262952
S2,Zone G,NA,9,B3,"Moderate wind from NE, clear conditions",6,A,X2,130.1130163,-32.34329067
S2,Zone E,NA,10,B3,"Moderate wind from E, clear conditions",5,A,X4,130.2040977,-32.22226437
S2,Zone G,NA,7,B3,"no wind, clear conditions",5,A,X4,130.1458091,-32.32572974
S2,Zone E,NA,25,B4,0/01/1900,5,B,X4,130.2040977,-32.22226437
S2,Zone E,NA,25,B1,0/01/1900,6,B,X1,130.2452788,-32.3306172
S2,Zone B,NA,25,NA,strong wind 155,5,B,X2,130.3157018,-32.49333462
S2,Zone C,NA,25,B1,strong wind 120,5,B,X1,130.239891,-32.47313511
S2,Zone E,NA,25,NA,strong wind 90,6,B,X1,130.241277,-32.42658892
S2,Zone E,NA,25,B1,strong wind 100,5,B,X1,130.2453818,-32.22617201
S2,Zone D,NA,25,NA,light wind 100,5,B,X3,130.1692709,-32.44834877
S2,Zone D,NA,25,B3,light wind 100,5,B,X2,130.1260132,-32.36875353
S2,Zone E,NA,25,B2,medium wind 100,6,B,X1,130.2452788,-32.3306172
S2,Zone G,NA,25,NA,Strong wind 90,5,B,X2,130.1130163,-32.34329067
S2,Zone G,NA,25,B3,Strong wind 90,5,B,X2,130.1130163,-32.34329067
S2,Zone H,NA,25,B3,medium wind 100,6,B,X1,130.164601,-32.28404537
S2,Zone E,NA,25,NA,no wind,5,B,X1,130.2453818,-32.22617201
S2,Zone H,NA,25,B3,light wind 80,6,B,X1,130.164601,-32.28404537
S2,Zone B,NA,25,NA,light wind 160,5,B,X4,130.0454944,-32.38497506
S2,Zone C,NA,25,B1,"Easterly wind, slightly overcast",6,B,X5,130.0459086,-32.52789957
S2,Zone G,NA,25,B1,"Hot dry ESE wind, gusty at times. Clear skies",5,B,X1,130.1257698,-32.26561097
